Filename,CelexID,DocID,remove
21953A0704(01):EN:NOT.html,21953A0704(01),1,1
21956A0507(01):EN:NOT.html,21956A0507(01),2,1
21958A0529(01):EN:NOT.html,21958A0529(01),3,1
21958A0707(01):EN:NOT.html,21958A0707(01),4,1
21959A1006(01):EN:NOT.html,21959A1006(01),5,1
21959A1006(02):EN:NOT.html,21959A1006(02),6,1
21961A0126(01):EN:NOT.html,21961A0126(01),7,1
21961A0606(01):EN:NOT.html,21961A0606(01),8,1
21961A1209(01):EN:NOT.html,21961A1209(01),9,1
21962A0307(01):EN:NOT.html,21962A0307(01),10,1
21962A0307(02):EN:NOT.html,21962A0307(02),11,1
21962A0307(03):EN:NOT.html,21962A0307(03),12,1
21962A0307(04):EN:NOT.html,21962A0307(04),13,1
21963A0429(01):EN:NOT.html,21963A0429(01),14,0
21963A0912(02):EN:NOT.html,21963A0912(02),15,1
21964A1229(01):EN:NOT.html,21964A1229(01),16,1
21965A1118(01):EN:NOT.html,21965A1118(01),17,0
21967A0615(01):EN:NOT.html,21967A0615(01),18,1
21967A0629(03):EN:NOT.html,21967A0629(03),19,1
21967A0630(01):EN:NOT.html,21967A0630(01),20,1
21967A0630(02):EN:NOT.html,21967A0630(02),21,1
21967A0630(04):EN:NOT.html,21967A0630(04),22,1
21967A0630(08):EN:NOT.html,21967A0630(08),23,1
21967A0630(18):EN:NOT.html,21967A0630(18),24,1
21967A0630(22):EN:NOT.html,21967A0630(22),25,1
21967A0630(24):EN:NOT.html,21967A0630(24),26,1
21967A0630(25):EN:NOT.html,21967A0630(25),27,1
21967A0630(26):EN:NOT.html,21967A0630(26),28,1
21968A0327(01):EN:NOT.html,21968A0327(01),29,1
21968A1115(01):EN:NOT.html,21968A1115(01),30,1
21969A0206(01):EN:NOT.html,21969A0206(01),31,1
21969A0630(02):EN:NOT.html,21969A0630(02),32,1
21969A0715(01):EN:NOT.html,21969A0715(01),33,1
21969A0801(01):EN:NOT.html,21969A0801(01),34,1
21969A0819(01):EN:NOT.html,21969A0819(01),35,1
21969A0825(01):EN:NOT.html,21969A0825(01),36,1
21970A0115(01):EN:NOT.html,21970A0115(01),37,1
21970A0227(01):EN:NOT.html,21970A0227(01),38,0
21970A0303(01):EN:NOT.html,21970A0303(01),39,1
21970A0605(01):EN:NOT.html,21970A0605(01),40,1
21970A0720(01):EN:NOT.html,21970A0720(01),41,0
21970A0810(01):EN:NOT.html,21970A0810(01),42,0
21970A0810(02):EN:NOT.html,21970A0810(02),43,0
21970A1111(01):EN:NOT.html,21970A1111(01),44,1
21970A1123(01):EN:NOT.html,21970A1123(01),45,0
21970A1123(03):EN:NOT.html,21970A1123(03),46,0
21970A1126(01):EN:NOT.html,21970A1126(01),47,1
21970A1205(01):EN:NOT.html,21970A1205(01),48,1
21971D1110(01):EN:NOT.html,21971D1110(01),49,1
21971D1110(02):EN:NOT.html,21971D1110(02),50,1
21971D1110(04):EN:NOT.html,21971D1110(04),51,1
21972A0722(03):EN:NOT.html,21972A0722(03),52,0
21972A0722(04):EN:NOT.html,21972A0722(04),53,0
21972A0722(05):EN:NOT.html,21972A0722(05)R(01),54,1
21972A1218(01):EN:NOT.html,21972A1218(01),55,0
21972A1218(02):EN:NOT.html,21972A1218(02),56,0
21972A1219(01):EN:NOT.html,21972A1219(01),57,0
21972A1219(02):EN:NOT.html,21972A1219(02),58,0
21972D1226(01):EN:NOT.html,21972D1226(01),59,1
21973A0303(01):EN:NOT.html,21973A0303(01),60,0
21973A0514(01):EN:NOT.html,21973A0514(01)R(01),61,1
21973A0514(02):EN:NOT.html,21973A0514(02),62,0
